machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage,cycle_start_time_5min,sum_payload,count_payload,avg_payload
RTIO_MJ_15H225,2025-05-01 15:10:00,SG01,51.5,54.521333,40.128628,1.33762093141692e-05,2025-05-01 15:10:00,73.409437,3.0,24.469812333333333
RTIO_MJ_15H225,2025-05-01 15:15:00,SG01,56.718667,50.264,34.132049,1.13773498080629e-05,2025-05-01 15:15:00,120.861965,5.0,24.172393
RTIO_MJ_15H225,2025-05-01 15:20:00,SG01,52.598667,48.478667,72.318505,2.41061684664829e-05,,,,
RTIO_MJ_15H225,2025-05-01 15:25:00,SG01,57.542667,45.045333,37.098407,1.23661358219873e-05,,,,
RTIO_MJ_15H225,2025-05-01 15:30:00,SG01,72.649333,48.478667,33.758998,1.12529994245731e-05,,,,
RTIO_MJ_15H225,2025-05-01 16:18:02,SG01,-4.12,23.484,0.323707,4.2441546848007e-08,,,,
RTIO_MJ_15H225,2025-05-01 16:20:00,SG01,59.053333,62.074667,48.252837,1.60842790107184e-05,,,,
RTIO_MJ_15H225,2025-05-01 16:25:00,SG01,32.96,61.662667,20.251672,6.75055736616617e-06,2025-05-01 16:25:00,119.639217,4.0,29.90980425
RTIO_MJ_15H225,2025-05-01 16:30:00,SG01,19.226667,48.066667,6.368439,2.12281315923605e-06,2025-05-01 16:30:00,107.812731,3.0,35.937577
RTIO_MJ_15H225,2025-05-01 16:35:00,SG01,42.024,67.018667,23.427003,7.80900107053937e-06,2025-05-01 16:35:00,224.625859,6.0,37.43764316666667
RTIO_MJ_15H225,2025-05-01 16:40:00,SG01,23.484,71.550667,5.724261,1.90808695470626e-06,2025-05-01 16:40:00,31.893687,1.0,31.893687
RTIO_MJ_15H225,2025-05-01 16:45:00,SG01,12.085333,47.654667,6.185167,2.06172217465611e-06,2025-05-01 16:45:00,150.094895,4.0,37.52372375
RTIO_MJ_15H225,2025-05-01 16:50:00,SG01,53.422667,61.662667,28.291142,9.4303806775663e-06,2025-05-01 16:50:00,106.553563,3.0,35.51785433333333
RTIO_MJ_15H225,2025-05-01 16:55:00,SG01,30.213333,40.101333,21.199826,7.0666085781331e-06,2025-05-01 16:55:00,51.77351,2.0,25.886755
RTIO_MJ_15H225,2025-05-01 17:00:00,SG01,42.436,52.186667,23.026306,7.67543545890456e-06,2025-05-01 17:00:00,38.149022,2.0,19.074511
RTIO_MJ_15H225,2025-05-01 17:05:00,SG01,33.234667,45.457333,6.432463,2.14415442348338e-06,2025-05-01 17:05:00,60.072391,2.0,30.0361955
