machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 8:48:18,1/05/2025 8:48:30,12,26.625838
RTIO_MJ_15H225,1/05/2025 8:48:51,1/05/2025 8:48:56,5,32.600407
RTIO_MJ_15H225,1/05/2025 8:49:36,1/05/2025 8:50:25,49,33.691194
RTIO_MJ_15H225,1/05/2025 8:50:50,1/05/2025 8:51:02,12,20.076073
RTIO_MJ_15H225,1/05/2025 8:51:34,1/05/2025 8:51:46,12,22.050042
RTIO_MJ_15H225,1/05/2025 8:52:10,1/05/2025 8:52:21,11,27.415541
RTIO_MJ_15H225,1/05/2025 8:52:42,1/05/2025 8:52:55,13,38.508312
RTIO_MJ_15H225,1/05/2025 8:53:22,1/05/2025 8:53:36,14,36.66021
RTIO_MJ_15H225,1/05/2025 8:53:58,1/05/2025 8:54:12,14,39.829707
RTIO_MJ_15H225,1/05/2025 8:54:33,1/05/2025 8:54:46,13,38.518198
RTIO_MJ_15H225,1/05/2025 8:55:04,1/05/2025 8:55:16,12,25.061518
RTIO_MJ_15H225,1/05/2025 8:56:33,1/05/2025 8:56:38,5,25.394128
RTIO_MJ_15H225,1/05/2025 8:58:47,1/05/2025 8:58:50,3,25.318686
RTIO_MJ_15H225,1/05/2025 9:00:02,1/05/2025 9:00:06,4,15.891028
RTIO_MJ_15H225,1/05/2025 9:01:54,1/05/2025 9:02:32,38,22.157763
RTIO_MJ_15H225,1/05/2025 9:02:52,1/05/2025 9:03:04,12,30.378508
RTIO_MJ_15H225,1/05/2025 9:03:23,1/05/2025 9:03:36,13,34.189866
RTIO_MJ_15H225,1/05/2025 9:03:53,1/05/2025 9:04:08,15,38.516777
RTIO_MJ_15H225,1/05/2025 9:04:23,1/05/2025 9:04:34,11,29.594161
RTIO_MJ_15H225,1/05/2025 9:04:52,1/05/2025 9:05:04,12,35.087011
RTIO_MJ_15H225,1/05/2025 9:05:23,1/05/2025 9:05:35,12,33.840192
RTIO_MJ_15H225,1/05/2025 9:05:56,1/05/2025 9:06:11,15,38.312467
RTIO_MJ_15H225,1/05/2025 9:29:40,1/05/2025 9:29:50,10,21.676224
RTIO_MJ_15H225,1/05/2025 9:31:32,1/05/2025 9:31:51,19,25.437894
RTIO_MJ_15H225,1/05/2025 9:40:19,1/05/2025 9:41:03,44,24.791401
